Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,35,28.8,5.27,30,1163,1019,158,254,56,2,28,147,15,7,114,222,0.249,0.328,0.391,0.719,104,398,26,13,3,14,3,204
Atlanta Braves,32,28.6,5.56,27,1053,942,150,256,69,3,29,144,20,5,89,242,0.272,0.342,0.444,0.786,119,418,19,15,0,7,2,197
Baltimore Orioles,33,27,5.46,28,1072,974,153,247,47,6,45,148,24,2,74,229,0.254,0.312,0.453,0.765,123,441,8,13,1,9,1,181
Boston Red Sox,35,27.2,4.79,29,1120,998,139,246,47,6,36,133,24,10,95,285,0.246,0.319,0.414,0.733,105,413,15,15,2,9,6,201
Chicago Cubs,37,28.3,5.07,29,1094,966,147,233,42,8,30,137,8,7,102,253,0.241,0.319,0.394,0.713,99,381,19,13,2,10,5,186
Chicago White Sox,38,28.8,2.72,29,1034,932,79,194,41,1,18,72,15,5,78,254,0.208,0.276,0.312,0.588,69,291,23,11,8,5,0,183
Cincinnati Reds,30,27.3,4.97,29,1077,941,144,207,47,6,29,133,52,11,106,285,0.22,0.304,0.375,0.679,89,353,10,13,3,13,0,173
Cleveland Guardians,31,26.4,5.11,28,1073,953,143,238,50,4,26,128,32,13,80,207,0.25,0.321,0.392,0.713,108,374,20,25,3,12,11,181
Colorado Rockies,30,28.2,3.79,28,1041,940,106,230,45,6,22,102,10,4,77,277,0.245,0.308,0.376,0.684,85,353,24,13,1,9,2,189
Detroit Tigers,29,27.2,3.96,28,1060,946,111,211,37,8,23,103,14,1,91,256,0.223,0.298,0.352,0.65,86,333,15,13,0,8,3,197
Houston Astros,36,29.2,4.36,28,1083,977,122,258,49,1,32,117,17,4,89,178,0.264,0.329,0.415,0.744,116,405,19,9,1,6,2,211
Kansas City Royals,31,27.6,4.6,30,1091,987,138,233,45,6,31,130,30,4,89,203,0.236,0.303,0.388,0.691,97,383,13,8,1,6,3,186
Los Angeles Angels,31,28.3,4.31,29,1092,983,125,237,37,4,31,112,29,10,88,265,0.241,0.309,0.381,0.691,96,375,17,12,3,6,1,188
Los Angeles Dodgers,36,30.5,5.35,31,1231,1074,166,295,68,3,36,162,21,6,129,261,0.275,0.353,0.444,0.798,124,477,20,10,1,15,4,249
Miami Marlins,39,28.2,3.47,30,1092,1007,104,223,33,4,23,100,15,3,71,231,0.221,0.276,0.331,0.607,70,333,33,7,2,4,2,174
Milwaukee Brewers,34,26.4,5.07,28,1104,976,142,249,45,3,35,134,35,6,107,261,0.255,0.336,0.415,0.751,114,405,17,14,1,5,1,213
Minnesota Twins,35,28.9,4.54,28,1068,945,127,221,56,4,31,119,11,2,88,263,0.234,0.311,0.4,0.711,105,378,21,23,2,10,2,195
New York Mets,38,30,4.43,28,1075,957,124,229,39,1,31,118,23,4,96,208,0.239,0.317,0.379,0.696,101,363,20,14,5,3,2,203
New York Yankees,34,28.4,4.93,30,1164,1008,148,253,41,1,37,138,16,5,131,230,0.251,0.339,0.404,0.743,113,407,33,9,3,11,2,218
Oakland Athletics,28,26.5,2.97,30,1084,973,89,200,37,4,33,88,14,5,89,294,0.206,0.277,0.354,0.631,87,344,18,10,5,7,3,191
Philadelphia Phillies,31,29.3,4.67,30,1129,1002,140,255,39,5,37,135,29,10,109,245,0.254,0.328,0.414,0.742,110,415,23,6,2,10,4,200
Pittsburgh Pirates,31,28.2,3.87,30,1171,1026,116,238,41,2,23,109,15,2,122,283,0.232,0.316,0.343,0.659,89,352,24,8,5,9,4,243
San Diego Padres,32,27.8,4.72,32,1197,1070,151,267,46,6,33,144,21,7,108,243,0.25,0.32,0.396,0.716,107,424,29,6,4,6,5,196
Seattle Mariners,32,28.8,3.66,29,1051,938,106,203,28,5,30,103,17,6,98,300,0.216,0.296,0.353,0.649,91,331,18,10,0,4,1,185
San Francisco Giants,31,29.9,4,29,1066,956,116,234,45,3,27,110,12,8,90,232,0.245,0.311,0.383,0.694,101,366,16,7,3,10,3,191
St. Louis Cardinals,31,27.6,3.57,28,1048,911,100,198,44,5,18,94,12,5,97,232,0.217,0.3,0.336,0.636,81,306,17,16,8,13,5,197
Tampa Bay Rays,31,27.7,3.9,30,1118,1011,117,246,40,2,25,106,31,10,79,270,0.243,0.306,0.361,0.667,95,365,23,15,4,6,3,201
Texas Rangers,36,27.6,4.55,29,1082,977,132,242,46,4,32,127,12,4,90,220,0.248,0.316,0.401,0.718,104,392,21,10,1,4,3,187
Toronto Blue Jays,33,29.2,3.63,30,1087,957,109,220,49,2,27,101,16,3,107,217,0.23,0.315,0.37,0.684,99,354,28,14,2,6,0,202
Washington Nationals,33,27.7,4.18,28,1060,933,117,221,44,4,27,108,52,10,95,227,0.237,0.318,0.379,0.697,102,354,16,19,3,8,4,195
League Average,33,28.2,4.38,29,1096,976,127,235,45,4,30,120,21,6,96,246,0.24,0.314,0.385,0.699,100,376,20,12,3,8,3,197
,985,28.2,4.38,872,32880,29279,3819,7038,1353,119,885,3602,642,179,2878,7373,0.24,0.314,0.385,0.699,100,11284,605,371,79,245,87,5917
