Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,18,28.5,4.43,13,17,0.433,4.09,30,30,30,0,2,0,6,266,249,133,121,30,86,6,230,7,2,13,1115,103,3.94,1.259,8.4,1,2.9,7.8,2.67,190
Atlanta Braves,17,31.8,3.85,19,8,0.704,3.58,27,27,26,1,3,1,8,244,210,104,97,25,77,3,221,7,2,7,993,120,3.71,1.176,7.7,0.9,2.8,8.2,2.87,163
Baltimore Orioles,16,29.8,4.18,18,10,0.643,3.74,28,28,28,0,3,0,8,253,225,117,105,32,72,1,250,9,1,10,1045,100,3.79,1.174,8,1.1,2.6,8.9,3.47,173
Boston Red Sox,19,29.6,3.66,16,13,0.552,2.68,29,29,28,1,5,1,8,262.1,221,106,78,22,74,6,254,14,0,12,1085,156,3.32,1.125,7.6,0.8,2.5,8.7,3.43,198
Chicago Cubs,22,29.1,4.52,18,11,0.621,4.12,29,29,29,0,1,0,9,257.2,236,131,118,29,98,3,244,13,0,14,1110,106,4.02,1.296,8.2,1,3.4,8.5,2.49,210
Chicago White Sox,18,28.2,5.41,6,23,0.207,5.02,29,29,29,0,0,0,4,251,248,157,140,42,115,4,233,10,1,12,1110,81,4.97,1.446,8.9,1.5,4.1,8.4,2.03,203
Cincinnati Reds,17,29.1,4.14,16,13,0.552,3.83,29,29,29,0,2,0,6,256,224,120,109,30,93,0,257,17,0,6,1083,116,3.96,1.238,7.9,1.1,3.3,9,2.76,196
Cleveland Guardians,18,27.9,3.46,19,9,0.679,3.22,28,28,28,0,4,0,10,254.1,214,97,91,23,95,2,274,14,3,12,1058,120,3.47,1.215,7.6,0.8,3.4,9.7,2.88,205
Colorado Rockies,15,28.7,6.29,7,21,0.25,6.06,28,28,28,0,0,0,3,243.2,289,176,164,34,111,0,181,6,0,10,1104,79,4.93,1.642,10.7,1.3,4.1,6.7,1.63,199
Detroit Tigers,15,28.7,3.86,16,12,0.571,3.14,28,28,28,0,2,0,10,255.1,200,108,89,27,77,0,239,17,1,8,1054,128,3.77,1.085,7,1,2.7,8.4,3.1,187
Houston Astros,23,29.4,5.14,9,19,0.321,4.92,28,28,27,1,2,1,2,245,245,144,134,26,116,1,234,12,2,13,1085,80,4.2,1.473,9,1,4.3,8.6,2.02,209
Kansas City Royals,17,29.3,3.2,17,13,0.567,3.29,30,30,29,1,4,0,8,260,238,96,95,22,94,3,217,14,0,3,1103,125,3.84,1.277,8.2,0.8,3.3,7.5,2.31,228
Los Angeles Angels,18,29.7,5.52,11,18,0.379,5.01,29,29,29,0,1,0,7,256.2,238,160,143,33,117,3,236,18,4,13,1112,83,4.57,1.383,8.3,1.2,4.1,8.3,2.02,186
Los Angeles Dodgers,21,29.9,4,19,12,0.613,3.66,31,31,31,0,1,0,11,278,220,124,113,30,107,4,269,13,1,15,1153,115,3.92,1.176,7.1,1,3.5,8.7,2.51,198
Miami Marlins,22,26.9,5.6,6,24,0.2,4.94,30,30,30,0,0,0,4,266,275,168,146,30,127,5,255,17,2,11,1197,88,4.33,1.511,9.3,1,4.3,8.6,2.01,236
Milwaukee Brewers,21,28.9,4.61,17,11,0.607,4.16,28,28,28,0,2,0,10,251,235,129,116,34,101,5,223,11,2,7,1081,101,4.48,1.339,8.4,1.2,3.6,8,2.21,202
Minnesota Twins,19,28.9,4.21,15,13,0.536,3.91,28,28,28,0,1,0,8,248.1,228,118,108,34,76,3,281,12,1,6,1045,101,3.74,1.224,8.3,1.2,2.8,10.2,3.7,185
New York Mets,22,31.6,4.25,14,14,0.5,3.54,28,28,28,0,0,0,7,252,200,119,99,17,120,2,265,17,3,12,1077,115,3.56,1.27,7.1,0.6,4.3,9.5,2.21,207
