Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,20/03/2024 05:05,Gocheok Sky Dome,San Diego Padres,Los Angeles Dodgers,2 - 5
2,1,21/03/2024 05:05,Gocheok Sky Dome,Los Angeles Dodgers,San Diego Padres,11 - 15
4,1,28/03/2024 14:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,11 - 3
6,1,28/03/2024 15:10,Great American Ball Park,Cincinnati Reds,Washington Nationals,8 - 2
7,1,28/03/2024 15:10,Petco Park,San Diego Padres,San Francisco Giants,6 - 4
8,1,28/03/2024 15:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,7 - 1
9,1,28/03/2024 15:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,2 - 8
10,1,28/03/2024 15:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,1 - 4
11,1,28/03/2024 15:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,0 - 1
12,1,28/03/2024 15:10,loanDepot park,Miami Marlins,Pittsburgh Pirates,5 - 6
13,1,28/03/2024 15:10,Minute Maid Park,Houston Astros,New York Yankees,4 - 5
14,1,28/03/2024 18:35,Globe Life Field,Texas Rangers,Chicago Cubs,4 - 3
15,1,28/03/2024 21:07,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,0 - 8
16,1,28/03/2024 21:10,Chase Field,Arizona Diamondbacks,Colorado Rockies,16 - 1
17,1,28/03/2024 21:10,T-Mobile Park,Seattle Mariners,Boston Red Sox,4 - 6
3,1,29/03/2024 12:40,Citi Field,New York Mets,Milwaukee Brewers,1 - 3
5,1,29/03/2024 14:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,3 - 9
18,1,29/03/2024 17:50,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,8 - 2
19,1,29/03/2024 18:10,loanDepot park,Miami Marlins,Pittsburgh Pirates,2 - 7
20,1,29/03/2024 19:10,Minute Maid Park,Houston Astros,New York Yankees,1 - 7
21,1,29/03/2024 20:40,Chase Field,Arizona Diamondbacks,Colorado Rockies,7 - 3
22,1,29/03/2024 20:40,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,4 - 6
23,1,29/03/2024 20:40,T-Mobile Park,Seattle Mariners,Boston Red Sox,1 - 0
24,1,29/03/2024 20:40,Petco Park,San Diego Padres,San Francisco Giants,3 - 8
25,1,29/03/2024 21:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,6 - 3
26,1,30/03/2024 12:40,Citi Field,New York Mets,Milwaukee Brewers,6 - 7
27,1,30/03/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,6 - 7
28,1,30/03/2024 15:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,13 - 4
29,1,30/03/2024 15:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,4 - 12
30,1,30/03/2024 15:07,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,3 - 12
31,1,30/03/2024 15:10,Great American Ball Park,Cincinnati Reds,Washington Nationals,6 - 7
32,1,30/03/2024 15:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,5 - 1
33,1,30/03/2024 15:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,1 - 5
34,1,30/03/2024 15:10,loanDepot park,Miami Marlins,Pittsburgh Pirates,3 - 9
35,1,30/03/2024 18:05,Globe Life Field,Texas Rangers,Chicago Cubs,11 - 2
36,1,30/03/2024 18:15,Petco Park,San Diego Padres,San Francisco Giants,6 - 9
37,1,30/03/2024 18:15,Minute Maid Park,Houston Astros,New York Yankees,3 - 5
38,1,30/03/2024 19:10,Chase Field,Arizona Diamondbacks,Colorado Rockies,4 - 9
39,1,30/03/2024 20:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,5 - 6
40,1,30/03/2024 20:40,T-Mobile Park,Seattle Mariners,Boston Red Sox,4 - 3
41,1,31/03/2024 12:35,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,1 - 4
42,1,31/03/2024 12:35,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,5 - 4
43,1,31/03/2024 12:40,Great American Ball Park,Cincinnati Reds,Washington Nationals,6 - 5
44,1,31/03/2024 12:40,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,2 - 9
45,1,31/03/2024 12:40,loanDepot park,Miami Marlins,Pittsburgh Pirates,7 - 9
46,1,31/03/2024 12:40,Citi Field,New York Mets,Milwaukee Brewers,1 - 4
47,1,31/03/2024 13:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,11 - 0
48,1,31/03/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,2 - 3
49,1,31/03/2024 13:10,Minute Maid Park,Houston Astros,New York Yankees,3 - 4
50,1,31/03/2024 13:35,Globe Life Field,Texas Rangers,Chicago Cubs,5 - 9
51,1,31/03/2024 15:07,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,4 - 3
52,1,31/03/2024 15:10,Chase Field,Arizona Diamondbacks,Colorado Rockies,5 - 1
53,1,31/03/2024 15:10,T-Mobile Park,Seattle Mariners,Boston Red Sox,1 - 5
54,1,31/03/2024 15:10,Petco Park,San Diego Padres,San Francisco Giants,13 - 4
55,1,31/03/2024 18:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,5 - 4
56,1,01/04/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Atlanta Braves,0 - 9
57,1,01/04/2024 13:20,Wrigley Field,Chicago Cubs,Colorado Rockies,5 - 0
58,1,01/04/2024 15:05,Nationals Park,Washington Nationals,Pittsburgh Pirates,4 - 8
59,1,01/04/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,6 - 4
60,1,01/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,3 - 6
61,1,01/04/2024 17:40,loanDepot park,Miami Marlins,Los Angeles Angels,4 - 7
62,1,01/04/2024 17:50,Tropicana Field,Tampa Bay Rays,Texas Rangers,3 - 9
63,1,01/04/2024 18:10,Citi Field,New York Mets,Detroit Tigers,0 - 5
64,1,01/04/2024 19:10,Minute Maid Park,Houston Astros,Toronto Blue Jays,10 - 0
65,1,01/04/2024 20:40,Oakland Coliseum,Oakland Athletics,Boston Red Sox,0 - 9
66,1,01/04/2024 20:40,T-Mobile Park,Seattle Mariners,Cleveland Guardians,5 - 4
67,1,01/04/2024 20:40,Petco Park,San Diego Padres,St. Louis Cardinals,2 - 6
68,1,01/04/2024 20:40,Chase Field,Arizona Diamondbacks,New York Yankees,2 - 5
69,1,01/04/2024 21:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,8 - 3
70,1,02/04/2024 15:10,American Family Field,Milwaukee Brewers,Minnesota Twins,3 - 2
71,1,02/04/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,1 - 4
72,1,02/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,9 - 4
73,1,02/04/2024 17:40,loanDepot park,Miami Marlins,Los Angeles Angels,1 - 3
74,1,02/04/2024 17:50,Tropicana Field,Tampa Bay Rays,Texas Rangers,5 - 2
76,1,02/04/2024 18:40,Wrigley Field,Chicago Cubs,Colorado Rockies,12 - 2
77,1,02/04/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Atlanta Braves,3 - 2
78,1,02/04/2024 19:10,Minute Maid Park,Houston Astros,Toronto Blue Jays,1 - 2
79,1,02/04/2024 20:40,Oakland Coliseum,Oakland Athletics,Boston Red Sox,4 - 5
80,1,02/04/2024 20:40,T-Mobile Park,Seattle Mariners,Cleveland Guardians,2 - 5
81,1,02/04/2024 20:40,Petco Park,San Diego Padres,St. Louis Cardinals,2 - 5
82,1,02/04/2024 20:40,Chase Field,Arizona Diamondbacks,New York Yankees,7 - 0
83,1,02/04/2024 21:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,5 - 4
84,2,03/04/2024 12:05,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,4 - 3
86,2,03/04/2024 12:10,Tropicana Field,Tampa Bay Rays,Texas Rangers,1 - 4
87,2,03/04/2024 12:10,loanDepot park,Miami Marlins,Los Angeles Angels,2 - 10
88,2,03/04/2024 12:10,American Family Field,Milwaukee Brewers,Minnesota Twins,3 - 7
90,2,03/04/2024 14:37,Oakland Coliseum,Oakland Athletics,Boston Red Sox,0 - 1
91,2,03/04/2024 14:40,Chase Field,Arizona Diamondbacks,New York Yankees,5 - 6
85,2,03/04/2024 15:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,1 - 4
92,2,03/04/2024 15:10,T-Mobile Park,Seattle Mariners,Cleveland Guardians,0 - 8
93,2,03/04/2024 15:10,Petco Park,San Diego Padres,St. Louis Cardinals,3 - 2
94,2,03/04/2024 17:45,Nationals Park,Washington Nationals,Pittsburgh Pirates,5 - 3
96,2,03/04/2024 18:40,Wrigley Field,Chicago Cubs,Colorado Rockies,9 - 8
97,2,03/04/2024 19:10,Minute Maid Park,Houston Astros,Toronto Blue Jays,8 - 0
98,2,03/04/2024 21:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,5 - 4
75,2,04/04/2024 11:10,Citi Field,New York Mets,Detroit Tigers,3 - 6
95,2,04/04/2024 11:15,Citi Field,New York Mets,Detroit Tigers,2 - 1
99,2,04/04/2024 15:05,Nationals Park,Washington Nationals,Pittsburgh Pirates,4 - 7
100,2,04/04/2024 15:10,Target Field,Minnesota Twins,Cleveland Guardians,2 - 4
101,2,04/04/2024 15:15,Busch Stadium,St. Louis Cardinals,Miami Marlins,8 - 5
102,2,04/04/2024 18:40,Kauffman Stadium,Kansas City Royals,Chicago White Sox,10 - 1
103,2,05/04/2024 12:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,0 - 3
104,2,05/04/2024 12:10,Comerica Park,Detroit Tigers,Oakland Athletics,5 - 4
105,2,05/04/2024 13:20,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,9 - 7
106,2,05/04/2024 15:10,Coors Field,Colorado Rockies,Tampa Bay Rays,10 - 7
107,2,05/04/2024 15:12,PNC Park,Pittsburgh Pirates,Baltimore Orioles,2 - 5
108,2,05/04/2024 15:35,Oracle Park,San Francisco Giants,San Diego Padres,3 - 2
109,2,05/04/2024 17:40,Great American Ball Park,Cincinnati Reds,New York Mets,2 - 3
110,2,05/04/2024 17:45,Nationals Park,Washington Nationals,Philadelphia Phillies,0 - 4
111,2,05/04/2024 18:20,Truist Park,Atlanta Braves,Arizona Diamondbacks,6 - 5
112,2,05/04/2024 18:40,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2 - 1
113,2,05/04/2024 19:05,Globe Life Field,Texas Rangers,Houston Astros,10 - 2
114,2,05/04/2024 19:10,American Family Field,Milwaukee Brewers,Seattle Mariners,6 - 5
115,2,05/04/2024 20:38,Angel Stadium,Los Angeles Angels,Boston Red Sox,6 - 8
116,2,06/04/2024 12:10,Comerica Park,Detroit Tigers,Oakland Athletics,0 - 4
117,2,06/04/2024 13:10,Target Field,Minnesota Twins,Cleveland Guardians,1 - 3
118,2,06/04/2024 13:15,Busch Stadium,St. Louis Cardinals,Miami Marlins,3 - 1
119,2,06/04/2024 15:05,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,1 - 4
120,2,06/04/2024 15:05,PNC Park,Pittsburgh Pirates,Baltimore Orioles,5 - 4
121,2,06/04/2024 15:05,Nationals Park,Washington Nationals,Philadelphia Phillies,2 - 5
122,2,06/04/2024 15:10,Great American Ball Park,Cincinnati Reds,New York Mets,9 - 6
123,2,06/04/2024 18:05,Globe Life Field,Texas Rangers,Houston Astros,7 - 2
124,2,06/04/2024 18:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,9 - 8
125,2,06/04/2024 18:10,Kauffman Stadium,Kansas City Royals,Chicago White Sox,3 - 0
126,2,06/04/2024 18:10,American Family Field,Milwaukee Brewers,Seattle Mariners,3 - 5
127,2,06/04/2024 18:20,Truist Park,Atlanta Braves,Arizona Diamondbacks,9 - 8
128,2,06/04/2024 19:10,Coors Field,Colorado Rockies,Tampa Bay Rays,6 - 8
129,2,06/04/2024 20:05,Oracle Park,San Francisco Giants,San Diego Padres,0 - 4
