"team","team_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Nationals","WSH","4431","11.3",34,"112.5","87.9","98.6","92.2","85","444","157","396","1562",35.3,"258",5.8,4.2
"Guardians","CLE","4428","11.7",34.3,"114.4","87.5","98","91","85.7","464","156","397","1462",33,"228",5.1,3.7
"Astros","HOU","4380","13.2",34.5,"117.7","88.7","99.5","92.6","85.7","453","169","395","1699",38.8,"357",8.2,5.7
"Braves","ATL","4353","12.1",34.6,"121.2","91","102.1","95.3","87.3","474","172","408","2004",46,"517",11.9,8.3
"Blue Jays","TOR","4295","13",34.8,"116.7","88.7","99.7","92.5","85.9","460","165","395","1670",38.9,"350",8.1,5.6
"D-backs","AZ","4275","10.8",33.1,"117.1","88.9","99.3","92.2","86.7","463","158","400","1635",38.2,"268",6.3,4.4
"Marlins","MIA","4270","10.2",33.9,"115.8","88.9","99.5","93.1","86","468","157","402","1624",38,"306",7.2,5.1
"Dodgers","LAD","4239","15.5",36.8,"112.7","89.2","99.8","93.3","85.3","442","180","397","1727",40.7,"388",9.2,6.1
"Red Sox","BOS","4236","12.3",33.5,"115","89.1","100","93.1","86.3","453","164","396","1704",40.2,"318",7.5,5.2
"Rangers","TEX","4236","14.3",35.6,"115.2","89.8","100.3","93.1","87.1","457","177","403","1762",41.6,"385",9.1,6.1
"Cardinals","STL","4234","13",33.2,"117.5","89.4","100.5","93.6","86.5","461","164","401","1760",41.6,"355",8.4,5.7
"Orioles","BAL","4193","13.4",33.6,"114.6","89.4","100.1","93","87.1","472","166","397","1711",40.8,"333",7.9,5.4
"Cubs","CHC","4180","12.4",34.5,"114.6","88.7","99.4","92.9","85.8","466","163","399","1606",38.4,"323",7.7,5.2
"Padres","SD","4156","13.2",31.7,"115.3","89.3","100","93.7","86.4","463","164","401","1638",39.4,"351",8.4,5.7
"Rays","TB","4135","12.4",31.5,"114.5","89.4","100.2","93.2","87.1","457","162","398","1686",40.8,"344",8.3,5.6
"White Sox","CWS","4122","10.7",32.7,"118.2","88.6","99.6","92.6","86.2","461","156","399","1553",37.7,"298",7.2,5
"Phillies","PHI","4115","13.2",34.8,"115.7","89.5","100.2","93.6","86.4","483","168","401","1676",40.7,"357",8.7,5.8
"Royals","KC","4104","13.4",35.1,"113.8","89.4","99.9","93.3","86.4","465","171","405","1686",41.1,"334",8.1,5.6
"Mets","NYM","4089","13.3",32.6,"117.3","89.4","100.1","93.5","86.9","467","165","402","1641",40.1,"340",8.3,5.6
"Tigers","DET","4049","13.3",33.1,"114.4","89.1","99.9","92.9","86.3","453","166","397","1638",40.6,"323",8,5.3
"Reds","CIN","4047","13.8",33.8,"119.2","88.2","98.9","92.3","85.3","467","165","397","1478",36.5,"281",6.9,4.5
"Brewers","MIL","4020","11.7",31.7,"114.8","88.3","99.4","92.5","85.7","456","157","398","1521",37.8,"298",7.4,4.9
"Angels","LAA","4019","13.6",32.9,"118.6","89.3","100.2","93.4","86.5","493","169","403","1612",40.4,"363",9,5.9
"Pirates","PIT","4010","11.9",33.3,"115.8","89.2","99.7","93.1","86.5","461","161","402","1621",40.4,"295",7.4,4.8
"Rockies","COL","4005","12.8",35,"115.3","88","99.2","92.1","84.5","483","169","412","1462",36.5,"306",7.6,5.1
"Giants","SF","3976","13.8",33.8,"116.6","88.7","99.5","93","85.4","474","166","398","1554",39.1,"334",8.4,5.5
"Yankees","NYY","3941","13",34.1,"119.5","89.8","100.3","93.8","86.8","485","167","395","1647",41.8,"364",9.2,6.1
"Mariners","SEA","3938","15",34.8,"116.7","89.3","100.4","93.6","85.8","482","171","397","1628",41.3,"382",9.7,6.2
"Twins","MIN","3879","14.5",35,"117.4","89.4","100.6","94","84.9","468","174","403","1606",41.4,"398",10.3,6.4
"Athletics","OAK","3879","12.9",32.3,"113.9","88.2","98.7","92.5","85.2","462","161","400","1366",35.2,"281",7.2,4.7
