"team","team_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Padres","SD","829","14.2",35.6,"113.5","89","78.2","93.9","84.9","448","170","400","338",40.8,"73",8.8,6
"Rockies","COL","806","10.1",32.8,"116","89.3","78.5","93.5","86.4","461","160","405","317",39.3,"52",6.5,4.7
"Marlins","MIA","798","11.2",34,"116","88.9","77.8","93.4","85.4","473","160","402","318",39.8,"70",8.8,5.8
"D-backs","AZ","790","11.2",33.8,"114.4","89.6","79.3","93.4","86.8","446","160","402","327",41.4,"55",7,4.9
"Rays","TB","782","16.2",36.2,"114.5","88.4","77.8","92.3","85.7","450","173","399","288",36.8,"57",7.3,4.9
"Royals","KC","778","12.5",35,"113.8","88.9","78.6","92","86.5","433","162","397","301",38.7,"58",7.5,5.3
"Athletics","OAK","766","14.1",36.4,"113.5","87.9","77.5","91.9","85.1","429","162","388","275",35.9,"42",5.5,3.7
"Blue Jays","TOR","763","13.4",38,"119.2","90","79.5","93.3","87","444","173","393","337",44.2,"77",10.1,6.9
"Giants","SF","761","8.1",31.1,"114.9","89","78","93.2","86.6","441","146","385","311",40.9,"58",7.6,5.4
"Dodgers","LAD","761","13.5",33.9,"117.6","88.7","78.3","93","84.9","452","167","396","302",39.7,"66",8.7,5.7
"Pirates","PIT","759","13.1",34.1,"114.4","88.7","77.6","93","85.6","448","166","407","309",40.7,"63",8.3,5.6
"Cubs","CHC","754","14.3",34,"113.6","88.8","78.3","92.6","86.2","460","166","399","297",39.4,"62",8.2,5.6
"Yankees","NYY","754","14.6",33.2,"112.3","88.8","78.7","92.4","86.7","433","162","390","282",37.4,"45",6,4
"White Sox","CWS","752","13.9",32.3,"115.4","88.7","77.9","93.1","85.5","449","168","395","289",38.4,"61",8.1,5.5
"Nationals","WSH","749","11.3",35.8,"118.7","89.4","78.8","92.3","87.3","450","159","404","322",43,"54",7.2,5.1
"Brewers","MIL","745","13.5",34.4,"116.4","88.6","77.7","92.3","86.3","450","160","402","288",38.7,"60",8.1,5.6
"Red Sox","BOS","742","11.2",34.2,"113.6","87.9","77","93","84.6","438","155","389","266",35.8,"49",6.6,4.5
"Angels","LAA","740","12.9",35.5,"111.9","88.9","78.4","93","85.6","435","167","398","287",38.8,"67",9.1,6
"Cardinals","STL","724","12",32.7,"115.8","88.5","77.6","92.5","86.4","443","157","395","276",38.1,"61",8.4,5.8
"Phillies","PHI","721","9.1",32.5,"112.4","87.5","76.4","92.4","84.7","432","147","389","267",37,"48",6.7,4.4
"Astros","HOU","720","14.2",33.6,"114.6","88.4","78.5","91.2","87","459","168","393","261",36.3,"40",5.6,3.7
"Tigers","DET","720","12.7",32.1,"113.6","87.9","77","91.6","86","449","157","393","261",36.4,"49",6.8,4.6
"Reds","CIN","716","17.2",33.1,"114.2","88.6","78","92.3","86.7","429","171","387","273",38.1,"53",7.4,4.9
"Orioles","BAL","714","12.7",30.5,"114.5","89.8","79.4","94.3","87","440","160","401","309",43.3,"67",9.4,6.4
"Rangers","TEX","696","14.8",34.2,"113.9","89.7","79.2","92.7","87.4","440","171","399","295",42.4,"64",9.2,5.9
"Braves","ATL","688","8.1",28.2,"114.4","86.5","74.9","92.2","82.7","461","140","396","240",34.9,"38",5.5,3.8
"Mariners","SEA","680","15.6",35.6,"114.3","88.9","78.4","92.2","87.9","459","169","397","251",36.9,"56",8.2,5.4
"Twins","MIN","675","16.5",35.4,"114","89.2","78.7","93.3","86.3","435","173","396","267",39.6,"56",8.3,5.4
"Guardians","CLE","675","13.6",34.4,"114","89.8","79.6","93.7","86.6","450","170","394","280",41.5,"49",7.3,4.6
"Mets","NYM","672","14.3",31.4,"114.2","88.6","77.6","92.5","85.6","445","163","402","270",40.2,"44",6.5,4.1
