"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Paddack, Chris","663978","72","10.6",38.9,"110.3","88.8","76.4","93.7","82.9","408","178","394","30",41.7,"7",9.7,7.2
"López, Pablo","641154","62","14.1",32.3,"112.9","88.8","77.4","93.9","83.4","416","169","396","27",43.5,"6",9.7,6.7
"Ryan, Joe","657746","59","15.9",28.8,"110.6","87.3","76.2","93.2","84.4","424","151","420","19",32.2,"6",10.2,6.5
"Varland, Louie","686973","58","10.1",48.3,"114","92.3","82.1","95.1","89.2","435","179","396","30",51.7,"8",13.8,9.2
"Ober, Bailey","641927","54","24.6",38.9,"110.1","87.9","76","95.2","80.4","422","195","405","20",37,"8",14.8,10.7
"Jackson, Jay","543351","29","25.8",37.9,"109.2","92.1","83.7","94.8","83.7","395","225","370","15",51.7,"3",10.3,6.8
"Funderburk, Kody","681892","21","7.7",28.6,"110.7","92.2","83.5","93.3","93.6","434","119","434","9",42.9,"1",4.8,2.6
"Jax, Griffin","643377","20","6.8",30,"109.5","87.4","77.5","88.4","86.1","379","146","379","5",25,"1",5,2.8
"Stewart, Brock","592779","20","14.6",30,"111.4","92.3","80.2","96.7","89.2","345","167",,"12",60,"0",0,0
"Sands, Cole","663485","19","26.6",31.6,"108.4","89.1","79","90.9","97.6","388","186","388","6",31.6,"1",5.3,2.8
"Okert, Steven","595345","17","24.3",41.2,"107.4","87.9","79","90.9","90.7","402","190","402","6",35.3,"1",5.9,3.3
"Alcala, Jorge","660896","16","27.3",25,"105.1","85","74","90.7","84.9","355","168",,"3",18.8,"0",0,0
